Locus_id	Unique_rowname
DN101582|c0_g1	NTNG1_HUMAN DN101582|c0_g1
DN101585|c0_g1	DN101585|c0_g1
DN101586|c0_g1	AIPL1_MOUSE DN101586|c0_g1
DN101587|c0_g1	DN101587|c0_g1
DN101592|c0_g1	CD36_HUMAN DN101592|c0_g1
DN101594|c0_g1	PDI2_CAEEL DN101594|c0_g1
DN101595|c0_g1	TEGU_SCHMA DN101595|c0_g1
DN101597|c0_g1	DN101597|c0_g1
DN10160|c0_g1	DN10160|c0_g1
DN101604|c0_g1	FLNB_RABIT DN101604|c0_g1
DN101605|c0_g1	DN101605|c0_g1
DN101606|c0_g1	DN101606|c0_g1
DN101608|c0_g1	DN101608|c0_g1
DN101612|c0_g1	MPV17_DANRE DN101612|c0_g1
DN101618|c0_g1	GNAO_LYMST DN101618|c0_g1
DN101620|c0_g1	AATM_RABIT DN101620|c0_g1
DN101621|c0_g1	DN101621|c0_g1
DN101626|c0_g1	LORF2_MOUSE DN101626|c0_g1
DN101628|c0_g1	DN101628|c0_g1
DN101629|c0_g1	UAP1_CANAX DN101629|c0_g1
DN101633|c0_g1	SNG2_MOUSE DN101633|c0_g1
DN101637|c0_g1	KERA_DANRE DN101637|c0_g1
DN101644|c0_g1	DN101644|c0_g1
DN101647|c0_g1	PSA7_BOVIN DN101647|c0_g1
DN101656|c0_g1	RALYL_BOVIN DN101656|c0_g1
DN101658|c0_g1	SYCE3_HUMAN DN101658|c0_g1
DN101662|c0_g1	FIGL1_XENLA DN101662|c0_g1
DN101663|c0_g1	QCR7_FASHE DN101663|c0_g1
DN101663|c0_g2	QCR7_FASHE DN101663|c0_g2
DN101667|c0_g2	DN101667|c0_g2
DN101669|c0_g1	CRUST_PANBO DN101669|c0_g1
DN101672|c0_g1	EMC2A_XENLA DN101672|c0_g1
DN101675|c0_g1	DN101675|c0_g1
DN101676|c0_g1	DN101676|c0_g1
DN101678|c0_g1	DN101678|c0_g1
DN101689|c0_g1	FSHR_CAIMO DN101689|c0_g1
DN101694|c0_g1	FIBG_XENLA DN101694|c0_g1
DN101695|c0_g1	RLA1_DROME DN101695|c0_g1
DN101696|c0_g1	DN101696|c0_g1
DN101706|c0_g1	DN101706|c0_g1
DN101710|c0_g1	DN101710|c0_g1
DN101711|c0_g1	RM14_RAT DN101711|c0_g1
DN101712|c0_g1	CREST_HUMAN DN101712|c0_g1
DN101713|c0_g1	RS10_RAT DN101713|c0_g1
DN101716|c0_g1	DN101716|c0_g1
DN101717|c0_g1	CALM_STIJA DN101717|c0_g1
DN101719|c0_g1	DN101719|c0_g1
DN101722|c0_g1	MAST2_HUMAN DN101722|c0_g1
DN101723|c0_g1	DN101723|c0_g1
DN101725|c0_g1	F10A1_CHICK DN101725|c0_g1
DN101728|c0_g1	BTBD6_HUMAN DN101728|c0_g1
DN101730|c0_g1	TF28_SCHPO DN101730|c0_g1
DN101731|c0_g1	ENSA_XENTR DN101731|c0_g1
DN101732|c0_g1	DN101732|c0_g1
DN101738|c0_g1	SM16_SCHMA DN101738|c0_g1
DN101739|c0_g1	DNAI1_BOVIN DN101739|c0_g1
DN101745|c0_g1	FHIT_ARATH DN101745|c0_g1
DN101746|c0_g1	PFD5_MOUSE DN101746|c0_g1
DN101748|c0_g1	SYHC_PONAB DN101748|c0_g1
DN101750|c0_g1	DN101750|c0_g1
DN101751|c0_g1	ECI2_MOUSE DN101751|c0_g1
DN101752|c0_g1	LORF2_HUMAN DN101752|c0_g1
DN101754|c0_g2	TTC9B_MOUSE DN101754|c0_g2
DN101756|c0_g1	COMA1_HUMAN DN101756|c0_g1
DN10176|c0_g1	K154L_HUMAN DN10176|c0_g1
DN101762|c0_g1	TWIST_XENLA DN101762|c0_g1
DN101772|c0_g1	MOT4_CHICK DN101772|c0_g1
DN101773|c1_g1	CZCA_ALCSC DN101773|c1_g1
DN101776|c0_g1	DN101776|c0_g1
DN101785|c0_g1	LIN1_NYCCO DN101785|c0_g1
DN101791|c0_g1	RBM39_PONAB DN101791|c0_g1
