Gene ID	Organism	Score	E-Value	Curated GO Functions	Curated GO Processes	Curated GO Components	Computed GO Components	Computed GO Functions	Computed GO Processes	# TM Domains	SignalP Peptide	PFam ID	Interpro ID	PFam Description	Interpro Description	Genomic Sequence ID	Gene Name or Symbol	Ortholog Group	Ortholog count	Paralog count	EC numbers from OrthoMCL	EC numbers
A1O9_01805	Exophiala aquamarina CBS 119918	185	7E-49	N/A	N/A	N/A	integral component of membrane	transmembrane transporter activity	transmembrane transport	12	N/A	PF07690	IPR011701;IPR020846;IPR036259	Major facilitator superfamily	Major facilitator superfamily;Major facilitator superfamily domain;MFS transporter superfamily	AMGV01000001	N/A	OG6_105688	1472	7	N/A	N/A
A1O9_02552	Exophiala aquamarina CBS 119918	173	1E-44	N/A	N/A	N/A	integral component of membrane	transmembrane transporter activity	transmembrane transport	14	N/A	PF07690	IPR011701;IPR036259	Major facilitator superfamily	Major facilitator superfamily;MFS transporter superfamily	AMGV01000002	N/A	OG6_105688	1472	7	N/A	N/A
A1O9_04232	Exophiala aquamarina CBS 119918	111	2E-24	N/A	N/A	N/A	integral component of membrane	transmembrane transporter activity	transmembrane transport	8	N/A	PF06609	IPR010573;IPR036259	Major facilitator transporter Str1/Tri12-like	Major facilitator transporter Str1/Tri12-like;MFS transporter superfamily	AMGV01000003	N/A	OG6_105688	1472	7	N/A	N/A
A1O9_07225	Exophiala aquamarina CBS 119918	157	7E-39	N/A	N/A	N/A	integral component of membrane	transmembrane transporter activity	transmembrane transport	14	N/A	PF07690	IPR011701;IPR020846;IPR036259	Major facilitator superfamily	Major facilitator superfamily;Major facilitator superfamily domain;MFS transporter superfamily	AMGV01000005	N/A	OG6_153020	278	1	N/A	N/A
A1O9_08792	Exophiala aquamarina CBS 119918	155	3E-38	N/A	N/A	N/A	integral component of membrane	transmembrane transporter activity	transmembrane transport	11	N/A	PF07690	IPR011701;IPR036259	Major facilitator superfamily	Major facilitator superfamily;MFS transporter superfamily	AMGV01000008	N/A	OG6_105688	1472	7	N/A	N/A
A1O9_09849	Exophiala aquamarina CBS 119918	168	7E-43	N/A	N/A	N/A	integral component of membrane	transmembrane transporter activity	transmembrane transport	14	N/A	PF06609	IPR010573;IPR020846;IPR036259	Major facilitator transporter Str1/Tri12-like	Major facilitator transporter Str1/Tri12-like;Major facilitator superfamily domain;MFS transporter superfamily	AMGV01000011	N/A	OG6_105688	1472	7	N/A	N/A
A1O9_12485	Exophiala aquamarina CBS 119918	477	3E-160	N/A	N/A	N/A	integral component of membrane	transmembrane transporter activity	transmembrane transport	14	N/A	PF07690	IPR011701;IPR036259	Major facilitator superfamily	Major facilitator superfamily;MFS transporter superfamily	AMGV01000023	N/A	OG6_105688	1472	7	N/A	N/A
A1O9_12820	Exophiala aquamarina CBS 119918	165	1E-41	N/A	N/A	N/A	integral component of membrane	transmembrane transporter activity	transmembrane transport	13	N/A	PF07690	IPR011701;IPR020846;IPR036259	Major facilitator superfamily	Major facilitator superfamily;Major facilitator superfamily domain;MFS transporter superfamily	AMGV01000028	N/A	OG6_105688	1472	7	N/A	N/A
A1Q1_00379	Trichosporon asahii var. asahii CBS 2479	241	8E-70	N/A	N/A	N/A	integral component of membrane	transmembrane transporter activity	transmembrane transport	11	N/A	PF06609	IPR010573;IPR036259	Major facilitator transporter Str1/Tri12-like	Major facilitator transporter Str1/Tri12-like;MFS transporter superfamily	JH977553	N/A	OG6_105688	1473	6	N/A	N/A
A1Q1_01206	Trichosporon asahii var. asahii CBS 2479	257	9E-76	N/A	N/A	N/A	integral component of membrane	transmembrane transporter activity	transmembrane transport	10	N/A	PF07690	IPR011701;IPR036259	Major facilitator superfamily	Major facilitator superfamily;MFS transporter superfamily	JH977581	N/A	OG6_105688	1473	6	N/A	N/A
A1Q1_03305	Trichosporon asahii var. asahii CBS 2479	127	6E-29	N/A	N/A	N/A	integral component of membrane	N/A	N/A	12	N/A	N/A	IPR036259	N/A	MFS transporter superfamily	JH977587	N/A	OG6_105688	1473	6	N/A	N/A
A1Q1_05499	Trichosporon asahii var. asahii CBS 2479	226	6E-64	N/A	N/A	N/A	integral component of membrane	N/A	N/A	11	N/A	N/A	IPR036259	N/A	MFS transporter superfamily	JH977538	N/A	OG6_105688	1473	6	N/A	N/A
A1Q1_05839	Trichosporon asahii var. asahii CBS 2479	157	4E-39	N/A	N/A	N/A	integral component of membrane	transmembrane transporter activity	transmembrane transport	14	N/A	PF07690	IPR011701;IPR036259	Major facilitator superfamily	Major facilitator superfamily;MFS transporter superfamily	JH977607	N/A	OG6_153020	274	5	N/A	N/A
A1Q1_06257	Trichosporon asahii var. asahii CBS 2479	347	3E-109	N/A	N/A	N/A	integral component of membrane	transmembrane transporter activity	N/A	13	N/A	N/A	IPR036259	N/A	MFS transporter superfamily	JH977539	N/A	OG6_105688	1473	6	N/A	N/A
A1Q1_06285	Trichosporon asahii var. asahii CBS 2479	138	2E-32	N/A	N/A	N/A	integral component of membrane	transmembrane transporter activity	transmembrane transport	10	N/A	PF07690	IPR011701;IPR036259	Major facilitator superfamily	Major facilitator superfamily;MFS transporter superfamily	JH977539	N/A	OG6_531013	35	0	N/A	N/A
A9K55_001103	Cordyceps militaris ATCC 34164	197	3E-53	N/A	N/A	N/A	integral component of membrane	transmembrane transporter activity	transmembrane transport	13	N/A	PF07690	IPR011701;IPR036259	Major facilitator superfamily	Major facilitator superfamily;MFS transporter superfamily	CP023327	N/A	OG6_153020	279	0	N/A	N/A
A9K55_001268	Cordyceps militaris ATCC 34164	140	2E-33	N/A	N/A	N/A	integral component of membrane	transmembrane transporter activity	transmembrane transport	12	N/A	PF07690	IPR011701;IPR020846;IPR036259	Major facilitator superfamily	Major facilitator superfamily;Major facilitator superfamily domain;MFS transporter superfamily	CP023326	N/A	OG6_105688	1472	7	N/A	N/A
A9K55_002986	Cordyceps militaris ATCC 34164	162	8E-41	N/A	N/A	N/A	integral component of membrane	transmembrane transporter activity	transmembrane transport	13	N/A	PF07690	IPR011701;IPR036259	Major facilitator superfamily	Major facilitator superfamily;MFS transporter superfamily	CP023322	N/A	OG6_105688	1472	7	N/A	N/A
A9K55_005197	Cordyceps militaris ATCC 34164	391	6E-127	N/A	N/A	N/A	integral component of membrane	transmembrane transporter activity	transmembrane transport	13	N/A	PF07690	IPR011701;IPR036259	Major facilitator superfamily	Major facilitator superfamily;MFS transporter superfamily	CP023325	N/A	OG6_105688	1472	7	N/A	N/A
A9K55_006082	Cordyceps militaris ATCC 34164	159	1E-39	N/A	N/A	N/A	integral component of membrane	transmembrane transporter activity	transmembrane transport	11	N/A	PF06609	IPR010573;IPR020846;IPR036259	Major facilitator transporter Str1/Tri12-like	Major facilitator transporter Str1/Tri12-like;Major facilitator superfamily domain;MFS transporter superfamily	CP023323	N/A	OG6_105688	1472	7	N/A	N/A
A9K55_006092	Cordyceps militaris ATCC 34164	191	9E-51	N/A	N/A	N/A	integral component of membrane	transmembrane transporter activity	transmembrane transport	13	N/A	PF07690	IPR011701;IPR020846;IPR036259	Major facilitator superfamily	Major facilitator superfamily;Major facilitator superfamily domain;MFS transporter superfamily	CP023323	N/A	OG6_105688	1472	7	N/A	N/A
A9K55_007188	Cordyceps militaris ATCC 34164	147	1E-35	N/A	N/A	N/A	integral component of membrane	N/A	N/A	12	N/A	N/A	IPR036259	N/A	MFS transporter superfamily	CP023324	N/A	OG6_105688	1472	7	N/A	N/A
A9K55_009027	Cordyceps militaris ATCC 34164	419	1E-137	N/A	N/A	N/A	integral component of membrane	transmembrane transporter activity	transmembrane transport	12	N/A	PF07690	IPR011701;IPR036259	Major facilitator superfamily	Major facilitator superfamily;MFS transporter superfamily	CP023324	N/A	OG6_105688	1472	7	N/A	N/A
A9K55_009057	Cordyceps militaris ATCC 34164	178	4E-46	N/A	N/A	N/A	integral component of membrane	transmembrane transporter activity	transmembrane transport	14	N/A	PF07690	IPR011701;IPR036259	Major facilitator superfamily	Major facilitator superfamily;MFS transporter superfamily	CP023324	N/A	OG6_105688	1472	7	N/A	N/A
AAP_01113	Ascosphaera apis ARSEF 7405	184	1E-47	N/A	N/A	N/A	integral component of membrane	transmembrane transporter activity	transmembrane transport	12	N/A	PF07690	IPR011701;IPR036259	Major facilitator superfamily	Major facilitator superfamily;MFS transporter superfamily	AZGZ01000003	N/A	OG6_105688	1477	2	N/A	N/A
AAP_03305	Ascosphaera apis ARSEF 7405	175	4E-45	N/A	N/A	N/A	integral component of membrane	transmembrane transporter activity	transmembrane transport	14	N/A	PF07690	IPR011701;IPR036259	Major facilitator superfamily	Major facilitator superfamily;MFS transporter superfamily	AZGZ01000013	N/A	OG6_105688	1477	2	N/A	N/A
AAP_04688	Ascosphaera apis ARSEF 7405	198	1E-53	N/A	N/A	N/A	integral component of membrane	transmembrane transporter activity	transmembrane transport	14	N/A	PF07690	IPR011701;IPR036259	Major facilitator superfamily	Major facilitator superfamily;MFS transporter superfamily	AZGZ01000023	N/A	OG6_105688	1477	2	N/A	N/A
AB675_10694	Phialophora attinorum CBS 131958	194	3E-52	N/A	N/A	N/A	membrane	transmembrane transporter activity	transmembrane transport	13	N/A	PF07690	IPR011701;IPR020846;IPR036259	Major facilitator superfamily	Major facilitator superfamily;Major facilitator superfamily domain;MFS transporter superfamily	LFJN01000011	N/A	OG6_105688	1475	4	N/A	N/A
AB675_10976	Phialophora attinorum CBS 131958	173	9E-45	N/A	N/A	N/A	membrane	transmembrane transporter activity	transmembrane transport	12	N/A	PF07690	IPR011701;IPR036259	Major facilitator superfamily	Major facilitator superfamily;MFS transporter superfamily	LFJN01000039	N/A	OG6_105688	1475	4	N/A	N/A
AB675_11913	Phialophora attinorum CBS 131958	102	8E-22	N/A	N/A	N/A	membrane	N/A	N/A	8	N/A	N/A	IPR036259	N/A	MFS transporter superfamily	LFJN01000046	N/A	OG6_153020	278	1	N/A	N/A
AB675_5037	Phialophora attinorum CBS 131958	428	5E-141	N/A	N/A	N/A	membrane	transmembrane transporter activity	transmembrane transport	14	N/A	PF07690	IPR011701;IPR036259	Major facilitator superfamily	Major facilitator superfamily;MFS transporter superfamily	LFJN01000015	N/A	OG6_105688	1475	4	N/A	N/A
AB675_7238	Phialophora attinorum CBS 131958	144	9E-35	N/A	N/A	N/A	membrane	transmembrane transporter activity	transmembrane transport	13	N/A	PF07690	IPR011701;IPR036259	Major facilitator superfamily	Major facilitator superfamily;MFS transporter superfamily	LFJN01000045	N/A	OG6_105688	1475	4	N/A	N/A
AC631_03306	Debaryomyces fabryi CBS 789	511	5E-173	N/A	N/A	N/A	integral component of membrane	N/A	N/A	13	N/A	N/A	IPR036259	N/A	MFS transporter superfamily	LMYN01000069	N/A	OG6_105688	1472	7	N/A	N/A
AC631_04348	Debaryomyces fabryi CBS 789	223	2E-62	N/A	N/A	N/A	integral component of membrane	transmembrane transporter activity	transmembrane transport	13	N/A	PF07690	IPR011701;IPR036259	Major facilitator superfamily	Major facilitator superfamily;MFS transporter superfamily	LMYN01000114	N/A	OG6_105688	1472	7	N/A	N/A
AC631_05306	Debaryomyces fabryi CBS 789	199	6E-54	N/A	N/A	N/A	integral component of membrane	transmembrane transporter activity	transmembrane transport	13	N/A	PF06609	IPR010573;IPR036259	Major facilitator transporter Str1/Tri12-like	Major facilitator transporter Str1/Tri12-like;MFS transporter superfamily	LMYN01000191	N/A	OG6_105688	1472	7	N/A	N/A
AC631_05895	Debaryomyces fabryi CBS 789	146	4E-35	N/A	N/A	N/A	integral component of membrane	transmembrane transporter activity	transmembrane transport	14	N/A	PF07690	IPR011701;IPR036259	Major facilitator superfamily	Major facilitator superfamily;MFS transporter superfamily	LMYN01000325	N/A	OG6_105688	1472	7	N/A	N/A
ACJ72_03205	Emergomyces africanus CBS 136260	173	8E-45	N/A	N/A	N/A	integral component of membrane	transmembrane transporter activity	transmembrane transport	12	N/A	PF07690	IPR011701;IPR036259	Major facilitator superfamily	Major facilitator superfamily;MFS transporter superfamily	LGUA01000305	N/A	OG6_105688	1476	3	N/A	N/A
ACJ72_04034	Emergomyces africanus CBS 136260	233	4E-66	N/A	N/A	N/A	integral component of membrane	transmembrane transporter activity	transmembrane transport	12	N/A	PF07690	IPR011701;IPR020846;IPR036259	Major facilitator superfamily	Major facilitator superfamily;Major facilitator superfamily domain;MFS transporter superfamily	LGUA01000440	N/A	OG6_105688	1476	3	N/A	N/A
ACJ72_05755	Emergomyces africanus CBS 136260	464	1E-155	N/A	N/A	N/A	integral component of membrane	transmembrane transporter activity	transmembrane transport	13	N/A	PF07690	IPR011701;IPR036259	Major facilitator superfamily	Major facilitator superfamily;MFS transporter superfamily	LGUA01000850	N/A	OG6_105688	1476	3	N/A	N/A
ACJ72_07511	Emergomyces africanus CBS 136260	107	1E-22	N/A	N/A	N/A	integral component of membrane	transmembrane transporter activity	transmembrane transport	12	N/A	PF07690	IPR011701;IPR036259	Major facilitator superfamily	Major facilitator superfamily;MFS transporter superfamily	LGUA01001689	N/A	OG6_105688	1476	3	N/A	N/A
ACJ73_04053	Blastomyces percursus strain EI222	249	5E-72	N/A	N/A	N/A	integral component of membrane	transmembrane transporter activity	transmembrane transport	12	N/A	PF07690	IPR011701;IPR036259	Major facilitator superfamily	Major facilitator superfamily;MFS transporter superfamily	LGTZ01000532	N/A	OG6_105688	1476	3	N/A	N/A
ACJ73_05362	Blastomyces percursus strain EI222	469	2E-157	N/A	N/A	N/A	integral component of membrane	transmembrane transporter activity	transmembrane transport	14	N/A	PF07690	IPR011701;IPR036259	Major facilitator superfamily	Major facilitator superfamily;MFS transporter superfamily	LGTZ01000831	N/A	OG6_105688	1476	3	N/A	N/A
ACJ73_08208	Blastomyces percursus strain EI222	165	9E-42	N/A	N/A	N/A	integral component of membrane	transmembrane transporter activity	transmembrane transport	14	N/A	PF07690	IPR011701;IPR036259	Major facilitator superfamily	Major facilitator superfamily;MFS transporter superfamily	LGTZ01001866	N/A	OG6_105688	1476	3	N/A	N/A
ACJ73_09216	Blastomyces percursus strain EI222	167	9E-43	N/A	N/A	N/A	integral component of membrane	transmembrane transporter activity	transmembrane transport	13	N/A	PF07690	IPR011701;IPR036259	Major facilitator superfamily	Major facilitator superfamily;MFS transporter superfamily	LGTZ01002492	N/A	OG6_105688	1476	3	N/A	N/A
ACLA_006400	Aspergillus clavatus NRRL 1	143	3E-34	N/A	N/A	N/A	integral component of membrane;integral component of plasma membrane	transmembrane transporter activity	transmembrane transport	14	N/A	PF07690	IPR001411;IPR011701;IPR036259	Major facilitator superfamily	Tetracycline resistance protein/drug resistance transporter;Major facilitator superfamily;MFS transporter superfamily	DS027051	N/A	OG6_105688	1477	2	N/A	N/A
ACLA_007770	Aspergillus clavatus NRRL 1	451	1E-150	N/A	N/A	N/A	integral component of membrane;integral component of plasma membrane	transmembrane transporter activity	transmembrane transport	13	N/A	PF07690	IPR001411;IPR011701;IPR036259	Major facilitator superfamily	Tetracycline resistance protein/drug resistance transporter;Major facilitator superfamily;MFS transporter superfamily	DS027051	N/A	OG6_105688	1477	2	N/A	N/A
ACLA_060320	Aspergillus clavatus NRRL 1	177	3E-46	N/A	N/A	N/A	integral component of membrane;integral component of plasma membrane	transmembrane transporter activity	ferric triacetylfusarinine C import into cell;transmembrane transport	14	N/A	PF07690	IPR001411;IPR011701;IPR036259	Major facilitator superfamily	Tetracycline resistance protein/drug resistance transporter;Major facilitator superfamily;MFS transporter superfamily	DS026990	N/A	OG6_153020	277	2	N/A	N/A
ACLA_060980	Aspergillus clavatus NRRL 1	154	7E-38	N/A	N/A	N/A	integral component of membrane;integral component of plasma membrane	transmembrane transporter activity	ferric triacetylfusarinine C import into cell;transmembrane transport	15	N/A	PF07690	IPR001411;IPR011701;IPR036259	Major facilitator superfamily	Tetracycline resistance protein/drug resistance transporter;Major facilitator superfamily;MFS transporter superfamily	DS027050	N/A	OG6_153020	277	2	N/A	N/A
ACLA_068610	Aspergillus clavatus NRRL 1	272	5E-81	N/A	N/A	N/A	integral component of membrane;integral component of plasma membrane	transmembrane transporter activity	transmembrane transport	12	N/A	PF07690	IPR011701;IPR036259	Major facilitator superfamily	Major facilitator superfamily;MFS transporter superfamily	DS027045	N/A	OG6_105688	1477	2	N/A	N/A
AFLA_002953	Aspergillus flavus NRRL3357	144	2E-34	N/A	N/A	N/A	integral component of membrane	transmembrane transporter activity	transmembrane transport	14	N/A	PF07690	IPR011701;IPR036259	Major facilitator superfamily	Major facilitator superfamily;MFS transporter superfamily	AAIH03000072	N/A	OG6_105688	1466	13	N/A	N/A
AFLA_003264	Aspergillus flavus NRRL3357	431	1E-142	N/A	N/A	N/A	integral component of membrane	transmembrane transporter activity	transmembrane transport	14	N/A	PF07690	IPR011701;IPR036259	Major facilitator superfamily	Major facilitator superfamily;MFS transporter superfamily	AAIH03000072	N/A	OG6_105688	1466	13	N/A	N/A
AFLA_004834	Aspergillus flavus NRRL3357	173	1E-44	N/A	N/A	N/A	N/A	transmembrane transporter activity	transmembrane transport	14	N/A	PF07690	IPR011701;IPR020846;IPR036259	Major facilitator superfamily	Major facilitator superfamily;Major facilitator superfamily domain;MFS transporter superfamily	AAIH03000265	N/A	OG6_153020	276	3	N/A	N/A
AFLA_006160	Aspergillus flavus NRRL3357	166	3E-42	N/A	N/A	N/A	integral component of membrane	transmembrane transporter activity	transmembrane transport	14	N/A	PF07690	IPR011701;IPR020846;IPR036259	Major facilitator superfamily	Major facilitator superfamily;Major facilitator superfamily domain;MFS transporter superfamily	AAIH03000181	N/A	OG6_153020	276	3	N/A	N/A
AFLA_006274	Aspergillus flavus NRRL3357	172	5E-44	N/A	N/A	N/A	N/A	transmembrane transporter activity	transmembrane transport	12	N/A	PF06609	IPR010573;IPR020846;IPR036259	Major facilitator transporter Str1/Tri12-like	Major facilitator transporter Str1/Tri12-like;Major facilitator superfamily domain;MFS transporter superfamily	AAIH03000181	N/A	OG6_105688	1466	13	N/A	N/A
AFLA_006336	Aspergillus flavus NRRL3357	124	6E-28	N/A	N/A	N/A	integral component of membrane	transmembrane transporter activity	transmembrane transport	14	N/A	PF07690	IPR011701;IPR036259	Major facilitator superfamily	Major facilitator superfamily;MFS transporter superfamily	AAIH03000181	N/A	OG6_105688	1466	13	N/A	N/A
AFLA_006413	Aspergillus flavus NRRL3357	128	5E-29	N/A	N/A	N/A	integral component of membrane	transmembrane transporter activity	transmembrane transport	13	N/A	PF07690	IPR011701;IPR036259	Major facilitator superfamily	Major facilitator superfamily;MFS transporter superfamily	AAIH03000235	N/A	OG6_105688	1466	13	N/A	N/A
AFLA_007670	Aspergillus flavus NRRL3357	184	1E-48	N/A	N/A	N/A	integral component of membrane	transmembrane transporter activity	transmembrane transport	9	N/A	PF07690	IPR011701;IPR036259	Major facilitator superfamily	Major facilitator superfamily;MFS transporter superfamily	AAIH03000103	N/A	OG6_105688	1466	13	N/A	N/A
AFLA_007729	Aspergillus flavus NRRL3357	170	1E-43	N/A	N/A	N/A	integral component of membrane	transmembrane transporter activity	transmembrane transport	13	N/A	PF06609	IPR010573;IPR036259	Major facilitator transporter Str1/Tri12-like	Major facilitator transporter Str1/Tri12-like;MFS transporter superfamily	AAIH03000103	N/A	OG6_153020	276	3	N/A	N/A
AFLA_008408	Aspergillus flavus NRRL3357	204	2E-55	N/A	N/A	N/A	integral component of membrane	transmembrane transporter activity	transmembrane transport	12	N/A	PF07690	IPR011701;IPR036259	Major facilitator superfamily	Major facilitator superfamily;MFS transporter superfamily	AAIH03000170	N/A	OG6_105688	1466	13	N/A	N/A
AFLA_008967	Aspergillus flavus NRRL3357	201	8E-55	N/A	N/A	N/A	integral component of membrane	transmembrane transporter activity	transmembrane transport	11	N/A	PF07690	IPR011701;IPR020846;IPR036259	Major facilitator superfamily	Major facilitator superfamily;Major facilitator superfamily domain;MFS transporter superfamily	AAIH03000170	N/A	OG6_105688	1466	13	N/A	N/A
AFLA_008983	Aspergillus flavus NRRL3357	118	7E-26	N/A	N/A	N/A	integral component of membrane	transmembrane transporter activity	transmembrane transport	14	N/A	PF07690	IPR011701;IPR036259	Major facilitator superfamily	Major facilitator superfamily;MFS transporter superfamily	AAIH03000170	N/A	OG6_105688	1466	13	N/A	N/A
AFLA_009775	Aspergillus flavus NRRL3357	170	1E-43	N/A	N/A	N/A	N/A	transmembrane transporter activity	transmembrane transport	14	N/A	PF07690	IPR011701;IPR036259	Major facilitator superfamily	Major facilitator superfamily;MFS transporter superfamily	AAIH03000282	N/A	OG6_105688	1466	13	N/A	N/A
AFLA_011305	Aspergillus flavus NRRL3357	240	4E-69	N/A	N/A	N/A	integral component of membrane	transmembrane transporter activity	transmembrane transport	12	N/A	PF07690	IPR011701;IPR020846;IPR036259	Major facilitator superfamily	Major facilitator superfamily;Major facilitator superfamily domain;MFS transporter superfamily	AAIH03000059	N/A	OG6_105688	1466	13	N/A	N/A
AFLA_012825	Aspergillus flavus NRRL3357	264	7E-78	N/A	N/A	N/A	integral component of membrane	transmembrane transporter activity	transmembrane transport	12	N/A	PF07690	IPR011701;IPR020846;IPR036259	Major facilitator superfamily	Major facilitator superfamily;Major facilitator superfamily domain;MFS transporter superfamily	AAIH03000011	N/A	OG6_105688	1466	13	N/A	N/A
AFLA_013357	Aspergillus flavus NRRL3357	182	9E-48	N/A	N/A	N/A	integral component of membrane	transmembrane transporter activity	transmembrane transport	14	N/A	PF07690	IPR011701;IPR020846;IPR036259	Major facilitator superfamily	Major facilitator superfamily;Major facilitator superfamily domain;MFS transporter superfamily	AAIH03000068	N/A	OG6_153020	276	3	N/A	N/A
AFLA_013777	Aspergillus flavus NRRL3357	164	2E-41	N/A	N/A	N/A	integral component of membrane	transmembrane transporter activity	transmembrane transport	14	N/A	PF07690	IPR011701;IPR020846;IPR036259	Major facilitator superfamily	Major facilitator superfamily;Major facilitator superfamily domain;MFS transporter superfamily	AAIH03000077	N/A	OG6_105688	1466	13	N/A	N/A
AFUB_022760	Aspergillus fumigatus A1163	252	1E-73	N/A	N/A	N/A	integral component of membrane;integral component of plasma membrane	transmembrane transporter activity	transmembrane transport	12	N/A	PF07690	IPR001411;IPR011701;IPR036259	Major facilitator superfamily	Tetracycline resistance protein/drug resistance transporter;Major facilitator superfamily;MFS transporter superfamily	scf_000002_A_fumigatus_A1163	N/A	OG6_105688	1475	4	N/A	N/A
AFUB_035520	Aspergillus fumigatus A1163	126	2E-28	N/A	N/A	N/A	integral component of membrane;integral component of plasma membrane	transmembrane transporter activity	transmembrane transport	14	N/A	PF07690	IPR001411;IPR011701;IPR036259	Major facilitator superfamily	Tetracycline resistance protein/drug resistance transporter;Major facilitator superfamily;MFS transporter superfamily	scf_000003_A_fumigatus_A1163	N/A	OG6_105688	1475	4	N/A	N/A
AFUB_044500	Aspergillus fumigatus A1163	155	3E-38	N/A	N/A	N/A	integral component of membrane;integral component of plasma membrane	transmembrane transporter activity	ferric triacetylfusarinine C import into cell;transmembrane transport	13	N/A	PF07690	IPR001411;IPR011701;IPR036259	Major facilitator superfamily	Tetracycline resistance protein/drug resistance transporter;Major facilitator superfamily;MFS transporter superfamily	scf_000003_A_fumigatus_A1163	N/A	OG6_153020	278	1	N/A	N/A
AFUB_044810	Aspergillus fumigatus A1163	184	2E-48	N/A	N/A	N/A	integral component of membrane;integral component of plasma membrane	transmembrane transporter activity	ferric triacetylfusarinine C import into cell;transmembrane transport	14	N/A	PF07690	IPR001411;IPR011701;IPR036259	Major facilitator superfamily	Tetracycline resistance protein/drug resistance transporter;Major facilitator superfamily;MFS transporter superfamily	scf_000003_A_fumigatus_A1163	N/A	OG6_153020	278	1	N/A	N/A
